year,pce_b,DMOTRC,DMOTRC_share_pce,DFDHRC,DFDHRC_share_pce,DREQRC,DREQRC_share_pce,DODGRC,DODGRC_share_pce,DFXARC,DFXARC_share_pce,DCLORC,DCLORC_share_pce,DGOERC,DGOERC_share_pce,DONGRC,DONGRC_share_pce,DHUTRC,DHUTRC_share_pce,DHLCRC,DHLCRC_share_pce,DTRSRC,DTRSRC_share_pce,DRCARC,DRCARC_share_pce,DFSARC,DFSARC_share_pce,DIFSRC,DIFSRC_share_pce,DOTSRC,DOTSRC_share_pce,DNPIRC,DNPIRC_share_pce,detail_sum_b,identity_residual_b,source_vintage
1975,1030.547,52.643,0.05108258041603148,42.612,0.04134891470258028,30.362,0.02946202356612556,16.547,0.016056521439584998,156.566,0.1519251426669526,66.867,0.06488495915276063,48.02,0.0465966132549025,77.716,0.07541237808658896,176.526,0.1712934975309229,89.0,0.08636190295056896,32.044,0.0310941664960453,23.653,0.02295188865718885,68.821,0.06678103958383266,51.812,0.0502762125356728,80.343,0.07796150976132094,17.013,0.016508708482000336,1030.545,0.0019999999999527063,BEA current Underlying Section2All release downloaded 2026-08-23
1976,1147.666,68.172,0.059400557304999886,47.172,0.041102550742114864,34.172,0.029775213346043185,19.108,0.016649443304933665,167.297,0.14577150495004645,72.191,0.06290244722767774,53.013,0.046192010567534456,85.179,0.0742193286199992,194.663,0.1696164215024232,101.849,0.0887444604963465,36.155,0.031503067965767045,26.535,0.023120838292674,77.801,0.0677906289809056,56.755,0.049452541070311405,88.619,0.07721671636172894,18.983,0.01654052659920221,1147.664,0.0019999999999527063,BEA current Underlying Section2All release downloaded 2026-08-23
1977,1273.975,79.796,0.06263545203006339,53.355,0.04188072764379207,37.73,0.029615965776408484,21.082,0.016548205420043566,179.771,0.1411103043623305,79.305,0.06225004415314273,57.817,0.045383151160737066,91.529,0.07184520889342413,217.806,0.17096567829039033,115.691,0.09081104417276635,41.395,0.03249278832002198,29.562,0.023204536980709987,85.665,0.06724229282364255,65.092,0.05109362428619086,97.745,0.07672442551855414,20.635,0.01619733511254146,1273.9760000000003,-0.0010000000004311005,BEA current Underlying Section2All release downloaded 2026-08-23
1978,1422.252,89.173,0.06269845287614291,59.004,0.04148631888019844,41.701,0.0293204017290888,23.47,0.016501998239411862,196.112,0.13788836296240048,89.318,0.06280040386654405,61.453,0.043208235952559744,103.335,0.0726559006420803,244.279,0.17175507575310142,131.202,0.09224947477662186,45.2,0.031780584594010064,32.85,0.02309717265294758,97.104,0.06827482049594587,76.714,0.05393840191470991,108.319,0.07616020227076496,23.019,0.01618489550375039,1422.253,-0.0009999999999763531,BEA current Underlying Section2All release downloaded 2026-08-23
1979,1585.42,90.175,0.056877672793329205,65.254,0.041158809652962626,45.835,0.02891032029367612,25.076,0.015816629032054597,218.37,0.13773637269619407,96.371,0.06078578547009625,80.388,0.05070454516784196,116.469,0.07346255250974504,273.403,0.172448310226943,148.839,0.09387985518033076,50.705,0.03198206153574447,36.725,0.023164208853174554,110.921,0.06996316433500271,83.557,0.05270338459209547,117.212,0.07393119804215917,26.12,0.01647512961864995,1585.4199999999998,2.2737367544323206e-13,BEA current Underlying Section2All release downloaded 2026-08-23
1980,1750.667,84.43,0.04822733278230527,67.844,0.03875322948339119,46.49,0.026555592811197105,27.627,0.01578084238750145,239.167,0.1366147873924624,103.002,0.058835860846180345,101.898,0.058205244058407456,129.335,0.07387755638279582,312.454,0.17847711757861434,171.661,0.09805462717924084,55.367,0.031626231602012264,40.837,0.023326537828153502,121.721,0.06952835690625345,91.659,0.05235661607832901,127.142,0.07262489097012739,30.033,0.017155175713028235,1750.6670000000001,-2.2737367544323206e-13,BEA current Underlying Section2All release downloaded 2026-08-23
1981,1933.951,93.016,0.048096358180739845,71.461,0.0369507810694273,49.878,0.025790725825007976,29.583,0.015296664703500759,255.338,0.1320291982578669,113.178,0.05852164816998983,113.443,0.0586586733583219,143.472,0.07418595403916646,352.071,0.1820475286085325,201.913,0.10440440321393872,59.789,0.030915467868627488,47.126,0.024367732171083963,133.916,0.06924477404029368,98.45,0.05090615015582091,137.177,0.07093095947105174,34.14,0.017652980866630023,1933.951,0.0,BEA current Underlying Section2All release downloaded 2026-08-23
1982,2071.256,100.014,0.04828664346657294,71.811,0.034670267702302374,51.287,0.02476130425210597,29.921,0.014445824176248616,267.141,0.1289753656718436,116.745,0.05636435090592375,108.35,0.052311254620384925,154.023,0.074362126168856,387.498,0.18708358599806107,225.182,0.1087176090256347,61.729,0.029802689768913163,52.475,0.02533486927738532,142.508,0.06880269749369465,113.68,0.05488457245265675,150.93,0.07286882934798983,37.964,0.018328975269112077,2071.2580000000003,-0.0020000000004074536,BEA current Underlying Section2All release downloaded 2026-08-23
1983,2281.605,122.945,0.05388531318961871,79.77,0.034962230535083856,58.655,0.02570778026871435,33.66,0.014752772719204242,277.036,0.12142154316807685,126.446,0.0554197593360814,106.456,0.046658383024230754,168.815,0.07398958189520097,421.227,0.18461872234676904,253.125,0.11094163976674315,68.899,0.03019760212657318,59.429,0.026047015149423324,153.55,0.06729911619232953,140.975,0.06178764510070761,169.861,0.07444803110091361,40.756,0.017862864080329416,2281.605,0.0,BEA current Underlying Section2All release downloaded 2026-08-23
1984,2492.34,147.192,0.059057752955054284,88.833,0.03564240833915116,67.843,0.02722060393044288,38.288,0.015362269995265491,291.102,0.11679867112833721,137.622,0.05521798791497148,108.201,0.04341341871494258,184.62,0.07407496569488914,457.51,0.1835664475954324,276.477,0.11093069163918244,80.016,0.032104769012253544,66.117,0.02652808204338092,164.916,0.06616914225185969,150.756,0.06048773441825754,187.465,0.0752164632433777,45.384,0.01820939358193505,2492.342,-0.0019999999999527063,BEA current Underlying Section2All release downloaded 2026-08-23
