degree_level,field,is_panel_total,total,closely,somewhat,not_related,share_closely,share_somewhat,share_not_related
Bachelor's,Chemical engineering,False,210000,85000.0,80000.0,45000.0,0.40476190476190477,0.38095238095238093,0.21428571428571427
Bachelor's,Civil and architectural engineering,False,393000,255000.0,94000.0,44000.0,0.648854961832061,0.23918575063613232,0.11195928753180662
Bachelor's,Electrical and computer engineering,False,953000,609000.0,272000.0,72000.0,0.6390346274921301,0.28541448058761804,0.07555089192025184
Bachelor's,Industrial engineering,False,192000,77000.0,87000.0,29000.0,0.4010416666666667,0.453125,0.15104166666666666
Bachelor's,Mechanical engineering,False,699000,350000.0,269000.0,81000.0,0.5007153075822603,0.38483547925608014,0.11587982832618025
Bachelor's,Other engineering,False,340000,159000.0,119000.0,62000.0,0.4676470588235294,0.35,0.18235294117647058
Bachelor's,S&E-related fields,False,4028000,2791000.0,695000.0,542000.0,0.6928997020854022,0.17254220456802383,0.13455809334657398
Bachelor's,Health,False,2971000,2156000.0,463000.0,352000.0,0.7256815886906766,0.15583978458431505,0.11847862672500842
Bachelor's,Science and mathematics teacher education,False,253000,162000.0,38000.0,53000.0,0.6403162055335968,0.15019762845849802,0.20948616600790515
Bachelor's,Technology and technical fields,False,436000,225000.0,129000.0,82000.0,0.5160550458715596,0.2958715596330275,0.18807339449541285
Bachelor's,Other S&E-related fields,False,369000,249000.0,64000.0,55000.0,0.6747967479674797,0.17344173441734417,0.14905149051490515
Bachelor's,Non-S&E fields,False,18107000,7144000.0,5980000.0,4984000.0,0.3945435466946485,0.33025901585022366,0.27525266471530346
Bachelor's,Management and administration fields,False,6586000,2821000.0,2494000.0,1271000.0,0.4283328272092317,0.3786820528393562,0.1929851199514121
Bachelor's,"Education, except science and math teacher education",False,2011000,1225000.0,367000.0,418000.0,0.6091496767777225,0.182496270512183,0.20785678766782695
Bachelor's,Social service and related fields,False,543000,178000.0,129000.0,236000.0,0.3278084714548803,0.23756906077348067,0.43462246777163904
Bachelor's,Sales and marketing fields,False,1185000,427000.0,522000.0,235000.0,0.36033755274261603,0.44050632911392407,0.19831223628691982
Bachelor's,Art and humanities fields,False,4015000,1267000.0,1130000.0,1618000.0,0.31556662515566625,0.28144458281444584,0.4029887920298879
Bachelor's,Other non-S&E fields,False,3767000,1226000.0,1336000.0,1204000.0,0.3254579240775153,0.3546588797451553,0.31961773294398726
Master's,Master's,True,15719000,10142000.0,3874000.0,1703000.0,0.6452064380685795,0.24645333672625486,0.10834022520516572
Master's,S&E fields,False,3930000,2503000.0,1009000.0,419000.0,0.6368956743002544,0.25674300254452925,0.10661577608142493
Master's,"Biological, agricultural, and environmental life sciences",False,417000,237000.0,107000.0,73000.0,0.5683453237410072,0.2565947242206235,0.1750599520383693
Master's,Agricultural and food sciences,False,46000,27000.0,13000.0,5000.0,0.5869565217391305,0.2826086956521739,0.10869565217391304
Master's,Biological sciences,False,287000,162000.0,68000.0,57000.0,0.5644599303135889,0.23693379790940766,0.1986062717770035
Master's,Environmental life sciences,False,85000,48000.0,26000.0,11000.0,0.5647058823529412,0.3058823529411765,0.12941176470588237
Master's,Computer and mathematical sciences,False,985000,725000.0,199000.0,61000.0,0.7360406091370558,0.2020304568527919,0.06192893401015229
Master's,Computer and information sciences,False,795000,597000.0,158000.0,40000.0,0.7509433962264151,0.19874213836477989,0.050314465408805034
Master's,Mathematics and statistics,False,190000,128000.0,40000.0,21000.0,0.6736842105263158,0.21052631578947367,0.11052631578947368
Master's,Physical and related sciences,False,194000,100000.0,66000.0,28000.0,0.5154639175257731,0.3402061855670103,0.14432989690721648
Master's,"Chemistry, except biochemistry",False,65000,33000.0,24000.0,8000.0,0.5076923076923077,0.36923076923076925,0.12307692307692308
Master's,"Earth, atmospheric, and ocean sciences",False,68000,35000.0,21000.0,12000.0,0.5147058823529411,0.3088235294117647,0.17647058823529413
Master's,Physics and astronomy,False,55000,28000.0,20000.0,6000.0,0.509090909090909,0.36363636363636365,0.10909090909090909
Master's,Other physical sciences,False,7000,4000.0,,,0.5714285714285714,,
Master's,Social and related sciences,False,1262000,735000.0,345000.0,182000.0,0.5824088748019017,0.2733755942947702,0.14421553090332806
Master's,Economics,False,115000,43000.0,57000.0,15000.0,0.3739130434782609,0.4956521739130435,0.13043478260869565
Master's,Political and related sciences,False,255000,101000.0,98000.0,56000.0,0.396078431372549,0.3843137254901961,0.2196078431372549
Master's,Psychology,False,655000,478000.0,107000.0,70000.0,0.7297709923664122,0.1633587786259542,0.10687022900763359
Master's,Sociology and anthropology,False,94000,39000.0,38000.0,17000.0,0.4148936170212766,0.40425531914893614,0.18085106382978725
Master's,Other social sciences,False,143000,74000.0,45000.0,24000.0,0.5174825174825175,0.3146853146853147,0.16783216783216784
Master's,Engineering,False,1072000,707000.0,291000.0,74000.0,0.6595149253731343,0.271455223880597,0.06902985074626866
Master's,"Aerospace, aeronautical, and astronautical engineering",False,48000,30000.0,11000.0,6000.0,0.625,0.22916666666666666,0.125
Master's,Chemical engineering,False,35000,20000.0,9000.0,6000.0,0.5714285714285714,0.2571428571428571,0.17142857142857143
Master's,Civil and architectural engineering,False,134000,100000.0,28000.0,6000.0,0.746268656716418,0.208955223880597,0.04477611940298507
Master's,Electrical and computer engineering,False,413000,297000.0,93000.0,23000.0,0.7191283292978208,0.22518159806295399,0.05569007263922518
Master's,Industrial engineering,False,68000,39000.0,27000.0,2000.0,0.5735294117647058,0.39705882352941174,0.029411764705882353
Master's,Mechanical engineering,False,174000,100000.0,61000.0,13000.0,0.5747126436781609,0.3505747126436782,0.07471264367816093
Master's,Other engineering,False,200000,121000.0,62000.0,18000.0,0.605,0.31,0.09
Master's,S&E-related fields,False,2334000,1842000.0,319000.0,173000.0,0.7892030848329049,0.13667523564695802,0.07412167952013711
Master's,Health,False,1727000,1402000.0,224000.0,101000.0,0.8118123914302259,0.12970469021424436,0.05848291835552982
Master's,Science and mathematics teacher education,False,279000,198000.0,40000.0,41000.0,0.7096774193548387,0.14336917562724014,0.14695340501792115
