year,private_wages,government_wages,supplements,proprietors,rental,interest,dividends,transfers,employee_comp,resource_total,employee_comp_share,proprietors_share,rental_share,interest_share,dividends_share,transfers_share
1990,2222.15,519.049,599.175,353.154,28.168,835.131,169.718,574.674,3340.374,5301.219,0.6301143189896512,0.06661750816180204,0.005313494877310294,0.15753565359212662,0.032014900723776926,0.10840412365533285
1991,2265.713,548.765,636.038,354.162,38.577,827.689,181.009,650.507,3450.516,5502.46,0.6270860669591419,0.06436430251196737,0.007010864231634577,0.1504216295983978,0.03289601378292618,0.11822112291593213
1992,2393.54,572.001,702.705,400.155,60.573,806.166,189.268,731.75,3668.246,5856.158,0.6263912278323092,0.06833063588789783,0.010343470924110995,0.13766124479564928,0.03231948318334307,0.12495393737668962
1993,2490.33,589.01,737.949,427.984,90.079,796.828,205.12,778.935,3817.289,6116.235000000001,0.6241239913116484,0.06997507453523286,0.014727851366077332,0.13028080183315388,0.03353697168274273,0.12735530927114472
1994,2627.093,609.496,769.603,456.644,113.667,806.304,237.331,815.708,4006.192,6435.8460000000005,0.6224810226969383,0.07095322044685345,0.01766154752615274,0.12528329608881256,0.036876426191677046,0.1267444870495658
1995,2788.996,629.026,780.066,481.186,124.882,869.355,259.194,864.727,4198.088,6797.431999999999,0.617599116842949,0.07078938046015025,0.018371938108391526,0.12789462255745995,0.03813116482812922,0.12721377720292018
1996,2968.375,648.094,800.473,543.784,142.528,886.403,302.416,906.325,4416.942,7198.398,0.6136006928208193,0.0755423637314858,0.019799961046888487,0.1231389261888548,0.04201156979650194,0.12590648641544966
1997,3204.957,671.887,831.974,583.958,147.059,928.763,337.753,935.418,4708.818,7641.768999999999,0.6161947580462064,0.07641659935022899,0.019244104342855693,0.12153769631089348,0.04419827398603648,0.12240856796377908
1998,3480.303,701.313,889.522,640.276,165.206,994.038,358.44,957.915,5071.138,8187.012999999999,0.6194124768093077,0.0782063006373631,0.020179032328396206,0.12141644333531657,0.043781535463544526,0.11700421142607201
1999,3724.16,733.766,944.757,696.352,178.497,987.717,348.461,992.202,5402.682999999999,8605.911999999998,0.627787386159654,0.08091553806267135,0.0207412067425277,0.1147719149347565,0.04049088580036608,0.11529306830002446
2000,4045.159,779.787,1022.2,753.559,183.476,1069.278,386.37,1044.876,5847.146,9284.705,0.6297610963407022,0.08116132930448516,0.019761101725902976,0.11516553299216292,0.041613600001292446,0.11253733963545422
2001,4131.637,821.998,1084.714,831.057,202.403,1087.525,374.41,1145.83,6038.349,9679.574,0.6238238377019485,0.08585677427539683,0.020910321053385198,0.11235256840848575,0.03868042126647309,0.11837607729431067
2002,4122.977,872.866,1139.272,870.133,208.448,1001.156,401.476,1251.022,6135.115,9867.349999999999,0.6217591349247772,0.08818304813349077,0.02112502343587691,0.1014614866200145,0.04068731726350034,0.12678398962234036
2003,4224.317,913.952,1215.337,897.509,227.098,1004.371,431.198,1320.994,6353.606,10234.776,0.6207860338125621,0.08769209995411723,0.022188858847521434,0.09813316871810385,0.04213067291360358,0.12906916575409172
2004,4468.675,952.339,1298.474,962.895,242.781,939.342,559.365,1404.471,6719.488,10828.341999999999,0.6205463403353904,0.0889235859007778,0.022420884009758838,0.08674846065999764,0.05165749290149869,0.12970323619257687
2005,4700.059,991.32,1374.728,979.14,221.105,1081.326,555.028,1490.917,7066.107,11393.623,0.6201808678415988,0.08593754594126908,0.01940603089991656,0.09490624711735679,0.04871391654787946,0.13085539165197935
2006,5022.214,1034.524,1422.938,1050.869,181.12,1215.446,683.58,1593.029,7479.6759999999995,12203.720000000001,0.6129013120589458,0.08611054662021086,0.0148413762360985,0.09959635258757164,0.05601406784160895,0.13053634465556402
