release,year,country,h,comp,vintage
wiod13,1999,DEU,0.0023428117561123817,0.059468709046565926,
wiod13,1999,DNK,0.00013979697747553907,0.003233951933112871,
wiod13,1999,ESP,0.0004367391271554629,0.0057525700568627,
wiod13,1999,EST,2.335433987387209e-05,5.916868478862124e-05,
wiod13,1999,FIN,0.00018682995794602292,0.0035189227794982826,
wiod13,1999,FRA,0.001001221432623936,0.023602897284959585,
wiod13,1999,GBR,0.001277767990893464,0.026424664191748232,
wiod13,1999,GRC,7.128628497709091e-05,0.00046423779395679955,
wiod13,1999,HUN,0.00032457195540180087,0.00093282578285697,
wiod13,1999,IDN,0.0017096225708567558,0.0009129357869862624,
wiod13,1999,IND,0.009914553887888327,0.0031294336617405816,
wiod13,1999,IRL,0.00013670186907352945,0.0018023271454155844,
wiod13,1999,ITA,0.0016665751041504142,0.02213543876138679,
wiod13,1999,JPN,0.005417083760470949,0.11628372748687238,
wiod13,1999,KOR,0.0023960795919186696,0.010916909146560403,
wiod13,1999,LTU,3.235036126233129e-05,7.025544502871101e-05,
wiod13,1999,LUX,1.1237518018284437e-05,0.00028523215205350836,
wiod13,1999,LVA,1.8952141694133658e-05,3.9794621653075214e-05,
wiod13,1999,MEX,0.0020096543566457017,0.004104438301216938,
wiod13,1999,MLT,1.0585066721899311e-05,5.019154402908623e-05,
wiod13,1999,NLD,0.00032854725601533865,0.006688586224734528,
wiod13,1999,POL,0.0005989712511071418,0.0019510546104830736,
wiod13,1999,PRT,0.00015462534153906225,0.0012216177589706014,
wiod13,1999,ROU,0.0005679059583266002,0.0004640043661500066,
wiod13,1999,RUS,0.0036681712210837425,0.0024830844247422097,
wiod13,1999,SVK,0.00014641036027613567,0.0002636417571536055,
wiod13,1999,SVN,6.672897300327454e-05,0.00047901848482060077,
wiod13,1999,SWE,0.00033039458798380007,0.007164524406048865,
wiod13,1999,TUR,0.0006971847053991346,0.0019951013114298498,
wiod13,1999,TWN,0.0015473099391215427,0.00980588352284804,
wiod13,1999,USA,0.00653212689416727,0.14497135314725199,
wiod13,2000,AUS,0.00024602325192288864,0.003117470918487735,
wiod13,2000,AUT,0.0002005793571847897,0.0036905809494341586,
wiod13,2000,BEL,0.00016427948775915783,0.0035819927841380253,
wiod13,2000,BGR,0.0001128055459837489,0.00012653781101949313,
wiod13,2000,BRA,0.0026612374880604912,0.0061524453733693436,
wiod13,2000,CAN,0.0005506962854239021,0.008438987046159458,
wiod13,2000,CHN,0.03620927925349054,0.02629474355158422,
wiod13,2000,CYP,2.8824153095577103e-06,1.4401529307891211e-05,
wiod13,2000,CZE,0.0004158432074584938,0.0010280497169328484,
wiod13,2000,DEU,0.002286131401576933,0.052357535130596385,
wiod13,2000,DNK,0.00013055227199273265,0.0026472333762829615,
wiod13,2000,ESP,0.0005121371049524219,0.005964511553124371,
wiod13,2000,EST,2.562181546874443e-05,6.421616972002525e-05,
wiod13,2000,FIN,0.00017408528113803184,0.0029704247815591036,
wiod13,2000,FRA,0.000935064009917468,0.019992601868470596,
wiod13,2000,GBR,0.0011793564022607216,0.024301068455153393,
wiod13,2000,GRC,5.635530549104878e-05,0.00032632060190441716,
wiod13,2000,HUN,0.00031319081373384493,0.0009224274101628421,
wiod13,2000,IDN,0.0019029192315113957,0.0010899478842086832,
wiod13,2000,IND,0.009272075834885358,0.003112165609780491,
wiod13,2000,IRL,0.00013175500816577426,0.0016612926905762793,
wiod13,2000,ITA,0.0015635586343208743,0.01843701581641933,
wiod13,2000,JPN,0.005076363575452506,0.11559592530673132,
wiod13,2000,KOR,0.002385846480396896,0.012918300674439111,
wiod13,2000,LTU,3.0864084104059926e-05,6.769310046716008e-05,
wiod13,2000,LUX,1.0803067649648454e-05,0.00025137709351247793,
wiod13,2000,LVA,2.1473460109063448e-05,4.600496570305819e-05,
wiod13,2000,MEX,0.0020607307361541136,0.004799314938338887,
wiod13,2000,MLT,9.391127479442855e-06,4.4333183213320346e-05,
wiod13,2000,NLD,0.0003283492340301104,0.0060846675086739304,
wiod13,2000,POL,0.0004946988451669782,0.0016356869010076393,
wiod13,2000,PRT,0.00013442841229392754,0.0009396319489289752,
wiod13,2000,ROU,0.0004450803129326192,0.0004252237506740003,
wiod13,2000,RUS,0.0030875820136496207,0.002718772519471903,
wiod13,2000,SVK,0.000132613597967613,0.0002438846867134874,
wiod13,2000,SVN,6.616209280946567e-05,0.0004364482408515399,
wiod13,2000,SWE,0.0003104998666135993,0.006627121146055546,
wiod13,2000,TUR,0.0006530369257746136,0.0017579801750280304,
wiod13,2000,TWN,0.0015986126639987303,0.010256125863925077,
wiod13,2000,USA,0.006377771960662371,0.15222825100601836,
wiod13,2001,AUS,0.00027010845178290977,0.0031000273386812965,
wiod13,2001,AUT,0.00022069127619599443,0.00402032038023457,
wiod13,2001,BEL,0.0001789654945900597,0.003929518629539387,
wiod13,2001,BGR,0.00010214251815992179,0.00012513318156864845,
wiod13,2001,BRA,0.002813739898873672,0.005498738906990331,
wiod13,2001,CAN,0.0005445020114879842,0.008350480278844715,
wiod13,2001,CHN,0.03931773408285859,0.030090415231901972,
wiod13,2001,CYP,3.4054269967611e-06,1.785238486830878e-05,
wiod13,2001,CZE,0.0004567634688552333,0.0012821774500471211,
wiod13,2001,DEU,0.002506662511436826,0.05664350795212276,
wiod13,2001,DNK,0.0001446537089937857,0.0029767157057343906,
wiod13,2001,ESP,0.0005131099042470069,0.005974991519768241,
wiod13,2001,EST,4.8351245264703836e-05,0.00012831505679348161,
wiod13,2001,FIN,0.00017864352322956656,0.0031818234454364697,
wiod13,2001,FRA,0.001021089221312447,0.021741536001523485,
wiod13,2001,GBR,0.0012274725096119313,0.024990084368926593,
wiod13,2001,GRC,4.658982582937519e-05,0.0002617817449178034,
wiod13,2001,HUN,0.0003296710988668157,0.001057753806373802,
wiod13,2001,IDN,0.002080097325618098,0.0011721460915666874,
wiod13,2001,IND,0.009708497456523076,0.0031562121276820848,
wiod13,2001,IRL,0.00014591630093733452,0.0018782714862253158,
wiod13,2001,ITA,0.0017101433583307309,0.020212013842656393,
wiod13,2001,JPN,0.005332007900819681,0.10695935184550862,
wiod13,2001,KOR,0.0026157757420813225,0.012901790476245421,
wiod13,2001,LTU,3.326735517530051e-05,8.531450811653301e-05,
wiod13,2001,LUX,1.2174989852264303e-05,0.00028511549937108497,
wiod13,2001,LVA,2.1565285020790584e-05,4.535814595778538e-05,
wiod13,2001,MEX,0.002193850657090605,0.0056765666278408905,
wiod13,2001,MLT,7.885563858437016e-06,5.109669340005602e-05,
wiod13,2001,NLD,0.00034794093051011116,0.006602186609212675,
wiod13,2001,POL,0.0004891088673755399,0.0019114348351947617,
wiod13,2001,PRT,0.0001486616962072306,0.0010446922826187102,
wiod13,2001,ROU,0.0004460617445193367,0.000554020423086935,
wiod13,2001,RUS,0.0031774370867779242,0.0030727260104095383,
wiod13,2001,SVK,0.000139717246782556,0.0002612657178099606,
wiod13,2001,SVN,7.30651773104616e-05,0.00048702487365280886,
wiod13,2001,SWE,0.00033325870871777784,0.006715107543886418,
wiod13,2001,TUR,0.0006555932866046193,0.0012888959367637533,
wiod13,2001,TWN,0.0016078083457430835,0.010420738171652375,
wiod13,2001,USA,0.006534204707988805,0.16139296965314043,
wiod13,2002,AUS,0.0002575951153405245,0.0033790346240833154,
wiod13,2002,AUT,0.00022529193163063922,0.004426901699604427,
wiod13,2002,BEL,0.00016686083259416282,0.004063103545012268,
wiod13,2002,BGR,0.0001130387914489694,0.00015229586923696205,
wiod13,2002,BRA,0.0032804473693790683,0.005430178023484529,
