year,kappa_min,kappa_med,kappa_max,k_z1_hh_gs10_pc4,k_z1_hh_gs10_single,k_z1_hh_gs10p_pc4,k_z1_hh_gs10p_single,k_z1_econ_gs10_pc4,k_z1_econ_gs10_single,k_z1_econ_gs10p_pc4,k_z1_econ_gs10p_single,k_flow_ls30_pc4,k_flow_ls30_single,k_flow_ls50_pc4,k_flow_ls50_single
1984,0.08687615076124074,0.3199505375576239,0.8557826500823167,0.3547576987889248,0.18014319509931118,0.3975396804196406,0.20186755200529802,0.7636859879904735,0.387793793901656,0.8557826500823167,0.43455976127556606,0.17108602579579377,0.08687615076124074,0.285143376326323,0.1447935846020679
1985,0.09176257756482152,0.33124427769929876,0.8119917615896433,0.3647911586197232,0.18523810781858668,0.41629916658297245,0.21139347290122362,0.7115253627127284,0.36130703483204774,0.8119917615896433,0.41232308932668893,0.1807089123399299,0.09176257756482152,0.3011815205665498,0.15293762927470253
1986,0.09731237274936244,0.28988271263592036,0.6590831367385137,0.2997590857969771,0.15221532798262086,0.35828673027409597,0.18193520978853447,0.551419134004207,0.28000633947486364,0.6590831367385137,0.33467728112306355,0.19163817651408968,0.09731237274936244,0.3193969608568161,0.16218728791560408
1987,0.09981591769809371,0.32280902520235233,0.7382895224570645,0.35250831556961254,0.17900097582820576,0.41557510495688044,0.21102580004953272,0.6262482830655531,0.3180039982839366,0.7382895224570645,0.3748976665983274,0.19656843127246085,0.09981591769809371,0.32761405212076805,0.16635986283015616
1988,0.10239347684809252,0.34308491703340166,0.806357347208297,0.3963391420499798,0.20125792797602865,0.46354690989642017,0.23538550879155876,0.6894468981567518,0.35009576257050634,0.806357347208297,0.4094619776083689,0.20164444289777816,0.10239347684809252,0.336074071496297,0.17065579474682088
1989,0.10335354233599307,0.3405562874513307,0.7921198649637027,0.3952006724539899,0.20067982198637666,0.4649556450385341,0.23610085351956728,0.6732820789214735,0.3418873933224625,0.7921198649637027,0.402232295065984,0.20353510894811938,0.10335354233599307,0.33922518158019893,0.1722559038933218
1990,0.10417202413816484,0.3322004357120366,0.7464989510792259,0.38535365281241263,0.19567958214240697,0.45295955681459027,0.23000933339546079,0.6350811971868042,0.3224892832468058,0.7464989510792259,0.3790663504830875,0.2051469529063604,0.10417202413816484,0.34191158817726736,0.17362004023027475
1991,0.10397462712446623,0.28971690484737506,0.6202506661019445,0.3348743267372522,0.17004657370683848,0.39879519504340855,0.20250509254801657,0.5208338184631643,0.26447535457025617,0.6202506661019445,0.31495845512449394,0.20475821709933242,0.10397462712446623,0.3412636951655541,0.17329104520744373
1992,0.10502972392801016,0.2340125416899,0.5053833620940913,0.29080923728782426,0.1476706646487523,0.35303660617965543,0.1792692376834354,0.4163028634876122,0.21139535016059266,0.5053833620940913,0.25662973321920735,0.20683602921884356,0.10502972392801016,0.34472671536473926,0.17504953988001692
1993,0.10575067910328195,0.20790210677337742,0.4087270290761155,0.23203747299048152,0.11782682070036139,0.2912978945828292,0.14791880101543664,0.32557731701271037,0.16532562461294775,0.4087270290761155,0.2075484004789106,0.20825581306784424,0.10575067910328195,0.34709302177974044,0.17625113183880325
1994,0.1084163546957389,0.22782046301303369,0.476839874801738,0.27535713301613396,0.1398242065055953,0.3336955086551453,0.16944797907034,0.3934762603259097,0.1998041789447152,0.476839874801738,0.2421355727889345,0.21350535323713288,0.1084163546957389,0.3558422553952215,0.1806939244928982
1995,0.11106582681068998,0.21880481944088054,0.4310555612670882,0.24221121061166823,0.12299296538852245,0.2974265321796777,0.15103087543149865,0.35103287043780207,0.17825175628724754,0.4310555612670882,0.218886655136924,0.21872298374483706,0.11106582681068998,0.3645383062413951,0.18510971135114998
1996,0.11219772038262721,0.21846331938051533,0.42532083592417524,0.23073198490485947,0.11716390402311695,0.2844878188200481,0.14446069760862182,0.34495368237982127,0.17516479196170145,0.42532083592417524,0.2159746062939643,0.22095203246706638,0.11219772038262721,0.36825338744511066,0.18699620063771202
1997,0.11429301509745815,0.22864852156603127,0.48576151540606693,0.23221872695548254,0.11791886005142035,0.2870519564609093,0.14576274672235784,0.39297039498465974,0.1995473044662363,0.48576151540606693,0.2466659123685353,0.22507831617657997,0.11429301509745815,0.37513052696096666,0.1904883584957636
1998,0.10606248865983219,0.22093044661051925,0.45883144141942794,0.20886986257818613,0.10606248865983219,0.26838636608313066,0.13628450537468065,0.35708244615578744,0.1813236836972895,0.45883144141942794,0.23299103064285237,0.2334351496964742,0.11853655004067716,0.38905858282745703,0.19756091673446197
1999,0.12165284685502364,0.23970916354958388,0.5149736537248478,0.23984622459694735,0.12179204391870964,0.30367283670139816,0.15420270019512555,0.40673537993868175,0.2065370565662657,0.5149736537248478,0.2614996085797604,0.23957210250222044,0.12165284685502364,0.39928683750370075,0.20275474475837274
2000,0.12400871426488802,0.27273624470390806,0.6188701813406742,0.2938230492160778,0.14920105486167073,0.3669234622898774,0.1863208750069378,0.4955756239070036,0.2516494401917383,0.6188701813406742,0.31425745571974506,0.24421153448584076,0.12400871426488802,0.4070192241430679,0.20668119044148003
2001,0.12828182829088955,0.27152348148151895,0.5721737705787782,0.2904203445896748,0.1474731879669648,0.37724257017702156,0.1915608375833967,0.4404882077298074,0.22367647950955158,0.5721737705787782,0.29054538220299,0.25262661837336303,0.12828182829088955,0.42104436395560507,0.21380304715148263
2002,0.1301139343156715,0.2757261310149995,0.5929535348019681,0.2952176599249682,0.14990922731254877,0.39125810595152566,0.19867781743772275,0.44740377854347324,0.22718815248116628,0.5929535348019681,0.3010971845552851,0.2562346021050308,0.1301139343156715,0.4270576701750514,0.21685655719278585
