Year,Ranking,Income Concept,"NIPA Table 2.9, line Number",Quantile or Summary Metric,Value
2005,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33.0,60-70%,0.114
2005,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33.0,70-80%,0.142
2005,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33.0,80-90%,0.186
2005,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33.0,90-100%,0.285
2005,Equivalized Disposable Personal Income,Disposable personal income,13.0,0-10%,0.018
2005,Equivalized Disposable Personal Income,Disposable personal income,13.0,0-20%,0.055
2005,Equivalized Disposable Personal Income,Disposable personal income,13.0,10-20%,0.037
2005,Equivalized Disposable Personal Income,Disposable personal income,13.0,20-30%,0.046
2005,Equivalized Disposable Personal Income,Disposable personal income,13.0,20-40%,0.103
2005,Equivalized Disposable Personal Income,Disposable personal income,13.0,30-40%,0.056
2005,Equivalized Disposable Personal Income,Disposable personal income,13.0,40-50%,0.067
2005,Equivalized Disposable Personal Income,Disposable personal income,13.0,40-60%,0.147
2005,Equivalized Disposable Personal Income,Disposable personal income,13.0,50-60%,0.080
2005,Equivalized Disposable Personal Income,Disposable personal income,13.0,60-70%,0.094
2005,Equivalized Disposable Personal Income,Disposable personal income,13.0,60-80%,0.208
2005,Equivalized Disposable Personal Income,Disposable personal income,13.0,70-80%,0.114
2005,Equivalized Disposable Personal Income,Disposable personal income,13.0,80-100%,0.488
2005,Equivalized Disposable Personal Income,Disposable personal income,13.0,80-90%,0.145
2005,Equivalized Disposable Personal Income,Disposable personal income,13.0,90-100%,0.342
2005,Equivalized Disposable Personal Income,Disposable personal income,13.0,Bottom 5%,0.006
2005,Equivalized Disposable Personal Income,Disposable personal income,13.0,Equivalized 50/10 Ratio,2.22
2005,Equivalized Disposable Personal Income,Disposable personal income,13.0,Equivalized 80/20 Ratio,2.87
2005,Equivalized Disposable Personal Income,Disposable personal income,13.0,Equivalized 90/10 Ratio,5.20
2005,Equivalized Disposable Personal Income,Disposable personal income,13.0,Equivalized 90/50 Ratio,2.34
2005,Equivalized Disposable Personal Income,Disposable personal income,13.0,Equivalized Gini,0.424
2005,Equivalized Disposable Personal Income,Disposable personal income,13.0,Mean ($2017),99357.10
2005,Equivalized Disposable Personal Income,Disposable personal income,13.0,Mean (Nominal),81599.00
2005,Equivalized Disposable Personal Income,Disposable personal income,13.0,Median ($2017),70730.80
2005,Equivalized Disposable Personal Income,Disposable personal income,13.0,Median (Nominal),58089.08
2005,Equivalized Disposable Personal Income,Disposable personal income,13.0,Top 1%,0.132
2005,Equivalized Disposable Personal Income,Disposable personal income,13.0,Top 5%,0.248
2005,Equivalized Disposable Personal Income,Government social benefits,30.0,0-10%,0.067
2005,Equivalized Disposable Personal Income,Government social benefits,30.0,10-20%,0.112
2005,Equivalized Disposable Personal Income,Government social benefits,30.0,20-30%,0.129
2005,Equivalized Disposable Personal Income,Government social benefits,30.0,30-40%,0.133
2005,Equivalized Disposable Personal Income,Government social benefits,30.0,40-50%,0.124
2005,Equivalized Disposable Personal Income,Government social benefits,30.0,50-60%,0.109
2005,Equivalized Disposable Personal Income,Government social benefits,30.0,60-70%,0.091
2005,Equivalized Disposable Personal Income,Government social benefits,30.0,70-80%,0.086
2005,Equivalized Disposable Personal Income,Government social benefits,30.0,80-90%,0.077
2005,Equivalized Disposable Personal Income,Government social benefits,30.0,90-100%,0.072
2005,Equivalized Disposable Personal Income,Household current transfer receipts,29.0,0-10%,0.070
2005,Equivalized Disposable Personal Income,Household current transfer receipts,29.0,10-20%,0.109
2005,Equivalized Disposable Personal Income,Household current transfer receipts,29.0,20-30%,0.125
2005,Equivalized Disposable Personal Income,Household current transfer receipts,29.0,30-40%,0.129
2005,Equivalized Disposable Personal Income,Household current transfer receipts,29.0,40-50%,0.122
2005,Equivalized Disposable Personal Income,Household current transfer receipts,29.0,50-60%,0.108
2005,Equivalized Disposable Personal Income,Household current transfer receipts,29.0,60-70%,0.093
2005,Equivalized Disposable Personal Income,Household current transfer receipts,29.0,70-80%,0.088
2005,Equivalized Disposable Personal Income,Household current transfer receipts,29.0,80-90%,0.079
2005,Equivalized Disposable Personal Income,Household current transfer receipts,29.0,90-100%,0.077
2005,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31.0,0-10%,0.017
2005,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31.0,10-20%,0.033
2005,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31.0,20-30%,0.042
2005,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31.0,30-40%,0.052
2005,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31.0,40-50%,0.063
2005,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31.0,50-60%,0.076
2005,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31.0,60-70%,0.091
2005,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31.0,70-80%,0.112
2005,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31.0,80-90%,0.145
2005,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31.0,90-100%,0.370
2005,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32.0,0-10%,0.142
2005,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32.0,10-20%,0.065
2005,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32.0,20-30%,0.047
2005,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32.0,30-40%,0.060
2005,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32.0,40-50%,0.081
2005,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32.0,50-60%,0.089
2005,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32.0,60-70%,0.136
2005,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32.0,70-80%,0.129
2005,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32.0,80-90%,0.112
2005,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32.0,90-100%,0.139
2005,Equivalized Disposable Personal Income,Household dividend income,28.0,0-10%,0.003
2005,Equivalized Disposable Personal Income,Household dividend income,28.0,10-20%,0.006
2005,Equivalized Disposable Personal Income,Household dividend income,28.0,20-30%,0.009
2005,Equivalized Disposable Personal Income,Household dividend income,28.0,30-40%,0.016
2005,Equivalized Disposable Personal Income,Household dividend income,28.0,40-50%,0.025
2005,Equivalized Disposable Personal Income,Household dividend income,28.0,50-60%,0.035
2005,Equivalized Disposable Personal Income,Household dividend income,28.0,60-70%,0.050
2005,Equivalized Disposable Personal Income,Household dividend income,28.0,70-80%,0.071
